

admin@DESKTOP-CTAGE42 MSYS /d/AlBrowserDownloads/cryptopp600a
mingw32 mingw-w64-i686-docbook-sgml31 3.1-1
mingw32 mingw-w64-i686-docbook-xml 5.0-1
mingw32 mingw-w64-i686-docbook-xsl 1.79.2-3
mingw32 mingw-w64-i686-doxygen 1.8.14-1
mingw32 mingw-w64-i686-drmingw 0.8.2-1
mingw32 mingw-w64-i686-dsdp 5.8-1
mingw32 mingw-w64-i686-dumb 0.9.3-5
mingw32 mingw-w64-i686-edd-dbg 0.2.1-2
mingw32 mingw-w64-i686-edd-fungo 0.2.4-1
mingw32 mingw-w64-i686-editrights 1.03-3
mingw32 mingw-w64-i686-eigen3 3.3.4-1
mingw32 mingw-w64-i686-emacs 26.1-1
mingw32 mingw-w64-i686-enca 1.19-1
mingw32 mingw-w64-i686-enchant 1.6.1-1
mingw32 mingw-w64-i686-enet 1.3.13-2
mingw32 mingw-w64-i686-eog 3.16.3-1
mingw32 mingw-w64-i686-eog-plugins 3.16.3-1
mingw32 mingw-w64-i686-evince 3.28.2-2
mingw32 mingw-w64-i686-exiv2 0.26-3
mingw32 mingw-w64-i686-expat 2.2.5-1
mingw32 mingw-w64-i686-extra-cmake-modules 5.42.0-1
mingw32 mingw-w64-i686-faac 1.29.7.8-1
mingw32 mingw-w64-i686-faad2 2.8.6-1
mingw32 mingw-w64-i686-farstream 0.2.8-2
mingw32 mingw-w64-i686-fastjar 0.98-1
mingw32 mingw-w64-i686-fdk-aac 0.1.6-1
mingw32 mingw-w64-i686-ffcall 2.1-1
mingw32 mingw-w64-i686-ffmpeg 4.0-3
mingw32 mingw-w64-i686-fftw 3.3.8-1
mingw32 mingw-w64-i686-fgsl 1.2.0-1
mingw32 mingw-w64-i686-field3d 1.7.2-3
mingw32 mingw-w64-i686-firebird2-git 2.5.9.27107.8f69580de5-1
mingw32 mingw-w64-i686-flac 1.3.2-1
mingw32 mingw-w64-i686-flatbuffers 1.9.0-1
mingw32 mingw-w64-i686-flexdll 0.34-2
mingw32 mingw-w64-i686-flickcurl 1.26-2
mingw32 mingw-w64-i686-flif 0.3-1
mingw32 mingw-w64-i686-fltk 1.3.4.2-1
mingw32 mingw-w64-i686-fluidsynth 1.1.11-1
mingw32 mingw-w64-i686-fmt 4.1.0-1
mingw32 mingw-w64-i686-fontconfig 2.13.0-1
mingw32 mingw-w64-i686-fossil 1.36-2
mingw32 mingw-w64-i686-fox 1.6.54-1
mingw32 mingw-w64-i686-freealut 1.1.0-1
mingw32 mingw-w64-i686-freeglut 3.0.0-4
mingw32 mingw-w64-i686-freeimage 3.17.0-4
mingw32 mingw-w64-i686-freetds 1.00.48-1
mingw32 mingw-w64-i686-freetype 2.9.1-1
mingw32 mingw-w64-i686-fribidi 1.0.2-1
mingw32 mingw-w64-i686-ftgl 2.1.3rc5-2
mingw32 mingw-w64-i686-gavl 1.4.0-1
mingw32 mingw-w64-i686-gc 7.6.6-1
mingw32 mingw-w64-i686-gcc 7.3.0-2
mingw32 mingw-w64-i686-gcc-ada 7.3.0-2
mingw32 mingw-w64-i686-gcc-fortran 7.3.0-2
mingw32 mingw-w64-i686-gcc-libgfortran 7.3.0-2
mingw32 mingw-w64-i686-gcc-libs 7.3.0-2
mingw32 mingw-w64-i686-gcc-objc 7.3.0-2
mingw32 mingw-w64-i686-gd 2.2.5-3
mingw32 mingw-w64-i686-gdal 2.2.4-3
mingw32 mingw-w64-i686-gdb 8.1-1
mingw32 mingw-w64-i686-gdbm 1.14.1-1
mingw32 mingw-w64-i686-gdcm 2.8.6-1
mingw32 mingw-w64-i686-gdk-pixbuf2 2.36.12-1
mingw32 mingw-w64-i686-gdl 3.28.0-1
mingw32 mingw-w64-i686-gdl2 2.31.2-2
mingw32 mingw-w64-i686-gdlmm2 2.30.0-2
mingw32 mingw-w64-i686-geany 1.32-1
mingw32 mingw-w64-i686-geany-plugins 1.32-1
mingw32 mingw-w64-i686-gedit 3.28.1-1
mingw32 mingw-w64-i686-gedit-plugins 3.28.1-1
mingw32 mingw-w64-i686-gegl 0.4.2-1
mingw32 mingw-w64-i686-geoclue 0.12.99-3
mingw32 mingw-w64-i686-geocode-glib 3.24.0-1
mingw32 mingw-w64-i686-geoip 1.6.12-1
mingw32 mingw-w64-i686-geoip2-database 20180116-1
mingw32 mingw-w64-i686-geos 3.6.2-1
mingw32 mingw-w64-i686-gettext 0.19.8.1-3
mingw32 mingw-w64-i686-gexiv2 0.10.8-1
mingw32 mingw-w64-i686-gflags 2.2.1-1
mingw32 mingw-w64-i686-ghex 3.18.3-1
mingw32 mingw-w64-i686-ghostscript 9.23-2
mingw32 mingw-w64-i686-giflib 5.1.4-2
mingw32 mingw-w64-i686-gimp 2.10.0-2
mingw32 mingw-w64-i686-gimp-ufraw 0.22-1
mingw32 mingw-w64-i686-git-lfs 2.2.1-1
mingw32 mingw-w64-i686-git-repo 0.4.20-1
mingw32 mingw-w64-i686-gitg 3.26.0-1
mingw32 mingw-w64-i686-gl2ps 1.4.0-1
mingw32 mingw-w64-i686-glade 3.22.1-1
mingw32 mingw-w64-i686-glade3 3.8.6-1
mingw32 mingw-w64-i686-glbinding 2.1.4-1
mingw32 mingw-w64-i686-glew 2.1.0-1
mingw32 mingw-w64-i686-glfw 3.2.1-2
mingw32 mingw-w64-i686-glib-networking 2.56.1-1
mingw32 mingw-w64-i686-glib-openssl 2.50.8-1
mingw32 mingw-w64-i686-glib2 2.56.1-2
mingw32 mingw-w64-i686-glibmm 2.56.0-1
mingw32 mingw-w64-i686-glm 0.9.9.0-1
mingw32 mingw-w64-i686-global 6.6.2-2
mingw32 mingw-w64-i686-globjects 1.1.0-1
mingw32 mingw-w64-i686-glog 0.3.5-1
mingw32 mingw-w64-i686-glpk 4.65-1
mingw32 mingw-w64-i686-glsl-optimizer-git r66905.5cee0ef05b-1
mingw32 mingw-w64-i686-glslang 6.2.2596-1
mingw32 mingw-w64-i686-gmime 3.0.5-1
